global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.721874,0.510337,0.800104,0.809079,69.0194,0.539757,0.510337,0.526109,2.03636
00020000,0.698335,0.510337,0.820898,0.831928,71.4249,0.558569,0.510337,0.387295,2.01766
00030000,0.719241,0.510337,0.839297,0.85498,66.2178,0.517847,0.510337,0.413787,2.04446
00040000,0.741696,0.510337,0.841234,0.859998,64.0329,0.50076,0.510337,0.442508,2.02791
00050000,0.743167,0.510337,0.858714,0.879019,64.8547,0.507187,0.510337,0.394954,2.0215
00060000,0.766241,0.510337,0.865296,0.883293,60.6188,0.474061,0.510337,0.574795,2.02728
00070000,0.79969,0.510337,0.888959,0.907107,54.0394,0.422608,0.510337,0.47721,2.0323
00080000,0.784282,0.510337,0.877811,0.894908,57.4388,0.449192,0.510337,0.565497,2.03858
00090000,0.79427,0.510337,0.894001,0.911329,53.6646,0.419677,0.510337,0.452805,2.03624
00100000,0.787998,0.510337,0.894918,0.912044,54.8999,0.429337,0.510337,0.586964,2.02482
00110000,0.818583,0.510337,0.90526,0.921305,48.9695,0.382959,0.510337,0.505467,2.03414
00120000,0.814015,0.510337,0.900159,0.917718,50.9581,0.398511,0.510337,0.517759,2.04301
00130000,0.795819,0.510337,0.888252,0.906396,55.1522,0.431311,0.510337,0.557492,2.04986
00140000,0.81053,0.510337,0.905667,0.920944,51.5615,0.40323,0.510337,0.453087,2.03915
00150000,0.814324,0.510337,0.908723,0.924532,50.2063,0.392631,0.510337,0.459658,2.02967
00160000,0.828804,0.510337,0.912971,0.927828,48.7162,0.380978,0.510337,0.481235,2.02994
00170000,0.818351,0.510337,0.90929,0.925229,50.0296,0.39125,0.510337,0.45864,2.02744
00180000,0.748509,0.510337,0.835915,0.858934,66.3085,0.518557,0.510337,0.502294,2.03531
00190000,0.803717,0.510337,0.902488,0.919947,54.2157,0.423987,0.510337,0.441356,2.03707
00200000,0.812079,0.510337,0.907433,0.922218,51.0625,0.399327,0.510337,0.568773,2.03622
00210000,0.825939,0.510337,0.914606,0.929274,48.9918,0.383134,0.510337,0.47537,2.02232
00220000,0.833527,0.510337,0.913914,0.928485,48.4501,0.378898,0.510337,0.509535,2.04384
00230000,0.82439,0.510337,0.913341,0.929027,48.8391,0.38194,0.510337,0.534169,2.0398
00240000,0.834146,0.510337,0.916813,0.930496,48.8687,0.382171,0.510337,0.500212,2.01992
00250000,0.840728,0.510337,0.920043,0.934272,47.7575,0.373481,0.510337,0.518395,2.0246
00260000,0.839954,0.510337,0.918257,0.931787,48.7292,0.38108,0.510337,0.514818,2.05395
00270000,0.828881,0.510337,0.913005,0.926432,49.8359,0.389735,0.510337,0.51297,2.02862
00280000,0.835927,0.510337,0.919909,0.933516,52.2057,0.408268,0.510337,0.548369,2.03621
00290000,0.833062,0.510337,0.916508,0.931441,51.1107,0.399704,0.510337,0.466409,2.03121
00300000,0.844754,0.510337,0.927606,0.940873,53.6487,0.419553,0.510337,0.463231,2.03012
