global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.69036,0.510337,0.780528,0.793523,74.5947,0.583358,0.510337,0.603473,2.59453
00020000,0.704994,0.510337,0.80218,0.81389,70.5755,0.551926,0.510337,0.430897,2.61658
00030000,0.67441,0.510337,0.806172,0.823156,74.4262,0.58204,0.510337,0.373473,2.62105
00040000,0.709563,0.510337,0.835465,0.854351,68.3069,0.534185,0.510337,0.629454,2.61189
00050000,0.753,0.510337,0.850547,0.870103,62.5863,0.489448,0.510337,0.583769,2.62766
00060000,0.735424,0.510337,0.840736,0.858712,67.399,0.527085,0.510337,0.620443,2.61342
00070000,0.738986,0.510337,0.840163,0.859103,64.3306,0.503088,0.510337,0.435235,2.61739
00080000,0.726132,0.510337,0.8617,0.880945,65.3466,0.511034,0.510337,0.387839,2.60562
00090000,0.772435,0.510337,0.872691,0.890795,60.2622,0.471272,0.510337,0.458785,2.61683
00100000,0.771119,0.510337,0.8647,0.883932,59.4883,0.46522,0.510337,0.451441,2.6487
00110000,0.776616,0.510337,0.877067,0.895669,62.2847,0.487089,0.510337,0.442917,2.61499
00120000,0.745722,0.510337,0.837442,0.852412,64.6576,0.505646,0.510337,0.564317,2.61507
00130000,0.746496,0.510337,0.862573,0.878173,62.4305,0.488229,0.510337,0.606408,2.63677
00140000,0.741076,0.510337,0.862008,0.876381,64.159,0.501747,0.510337,0.400887,2.61952
00150000,0.780798,0.510337,0.874899,0.891415,56.7273,0.443628,0.510337,0.548798,2.62786
00160000,0.771893,0.510337,0.861002,0.879262,58.599,0.458266,0.510337,0.51626,2.6338
00170000,0.788308,0.510337,0.874907,0.893733,56.2347,0.439776,0.510337,0.502978,2.63663
00180000,0.78916,0.510337,0.877778,0.897566,55.3968,0.433223,0.510337,0.480309,2.61897
00190000,0.69307,0.510337,0.786141,0.791754,72.8166,0.569452,0.510337,0.436469,2.61642
00200000,0.730468,0.510337,0.81309,0.828154,67.0363,0.524248,0.510337,0.493925,2.61162
00210000,0.75122,0.510337,0.838841,0.857584,62.9054,0.491943,0.510337,0.536365,2.63364
00220000,0.757724,0.510337,0.852727,0.871677,60.446,0.47271,0.510337,0.545336,2.63077
00230000,0.763995,0.510337,0.85457,0.871297,60.4287,0.472574,0.510337,0.541602,2.61779
00240000,0.752381,0.510337,0.834408,0.849775,63.8956,0.499687,0.510337,0.50478,2.6411
00250000,0.698645,0.510337,0.801922,0.819083,69.3702,0.5425,0.510337,0.467067,2.6081
00260000,0.756717,0.510337,0.846601,0.868024,61.7274,0.482731,0.510337,0.471453,2.6425
00270000,0.498722,0.510337,0.508845,0.723462,90.2325,0.705651,0.510337,0.419224,2.61635
00280000,0.511421,0.510337,0.502321,0.756003,88.5579,0.692555,0.510337,0.533089,2.60577
00290000,0.490902,0.510337,0.502321,0.756003,89.463,0.699633,0.510337,0.446845,2.61525
00300000,0.490902,0.510337,0.502321,0.756003,89.2307,0.697816,0.510337,0.454398,2.60707
