global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.600929,0.510337,0.688707,0.682552,83.5424,0.653332,0.510337,0.579334,0.129304
00020000,0.640883,0.510337,0.695991,0.690938,80.7019,0.631118,0.510337,0.506406,0.131353
00030000,0.635927,0.510337,0.705126,0.702024,80.5326,0.629794,0.510337,0.461648,0.131836
00040000,0.637321,0.510337,0.71328,0.714058,80.7486,0.631483,0.510337,0.587675,0.131215
00050000,0.658304,0.510337,0.722227,0.724026,78.1936,0.611503,0.510337,0.527643,0.130629
00060000,0.66024,0.510337,0.728658,0.731969,77.8531,0.608839,0.510337,0.546621,0.128369
00070000,0.637708,0.510337,0.735268,0.735772,79.4958,0.621686,0.510337,0.418157,0.131708
00080000,0.671235,0.510337,0.740572,0.742998,76.3288,0.596919,0.510337,0.517134,0.129134
00090000,0.667441,0.510337,0.743415,0.7474,76.7931,0.60055,0.510337,0.562377,0.130438
00100000,0.666357,0.510337,0.748558,0.75014,76.5045,0.598293,0.510337,0.454265,0.12948
00110000,0.66535,0.510337,0.752107,0.753879,76.391,0.597405,0.510337,0.447188,0.130447
00120000,0.6765,0.510337,0.754085,0.758293,75.9968,0.594322,0.510337,0.571197,0.130884
00130000,0.676423,0.510337,0.757569,0.761565,75.7664,0.592521,0.510337,0.57407,0.130804
00140000,0.685327,0.510337,0.760707,0.764758,74.3629,0.581545,0.510337,0.535952,0.130395
00150000,0.690592,0.510337,0.764156,0.767485,73.8206,0.577304,0.510337,0.507589,0.130278
00160000,0.689895,0.510337,0.766944,0.769998,73.9075,0.577984,0.510337,0.476177,0.132604
00170000,0.67681,0.510337,0.769183,0.772226,74.9743,0.586327,0.510337,0.437416,0.130414
00180000,0.6964,0.510337,0.771288,0.775775,73.0475,0.571258,0.510337,0.525691,0.130298
00190000,0.688657,0.510337,0.774052,0.778134,73.6242,0.575768,0.510337,0.456475,0.133491
00200000,0.701432,0.510337,0.776565,0.781339,72.4702,0.566743,0.510337,0.527462,0.129754
00210000,0.695858,0.510337,0.779187,0.783759,72.7436,0.568881,0.510337,0.46578,0.130634
00220000,0.68525,0.510337,0.781174,0.785951,73.5664,0.575316,0.510337,0.438183,0.131389
00230000,0.697793,0.510337,0.783482,0.788711,72.4213,0.566361,0.510337,0.458934,0.132031
00240000,0.70662,0.510337,0.785736,0.791865,71.7171,0.560854,0.510337,0.547326,0.130399
00250000,0.698722,0.510337,0.787618,0.793248,72.0062,0.563115,0.510337,0.45606,0.13145
00260000,0.713202,0.510337,0.789974,0.796248,70.8239,0.553869,0.510337,0.525621,0.12975
00270000,0.710879,0.510337,0.791761,0.798043,70.814,0.553791,0.510337,0.47976,0.130772
00280000,0.705691,0.510337,0.793139,0.800094,71.5095,0.55923,0.510337,0.570882,0.129042
00290000,0.707394,0.510337,0.795555,0.801918,70.872,0.554245,0.510337,0.460097,0.13204
00300000,0.707162,0.510337,0.797233,0.803701,70.7743,0.55348,0.510337,0.456409,0.130297
