global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.576694,0.510337,0.653099,0.657565,88.1603,0.689446,0.510337,0.495251,0.23013,1.5e-05
00020000,0.627255,0.510337,0.673595,0.671052,87.6059,0.68511,0.510337,0.502455,0.225454,1.3e-05
00030000,0.629268,0.510337,0.680086,0.67414,86.9963,0.680343,0.510337,0.501722,0.226841,1.2e-05
00040000,0.630507,0.510337,0.68267,0.675147,86.2928,0.674841,0.510337,0.499633,0.225832,1.3e-05
00050000,0.628571,0.510337,0.684252,0.6763,85.5981,0.669408,0.510337,0.490964,0.225438,1.5e-05
00060000,0.632675,0.510337,0.686143,0.678138,84.8008,0.663173,0.510337,0.504473,0.225283,1.2e-05
00070000,0.632056,0.510337,0.687027,0.678635,84.2354,0.658751,0.510337,0.48937,0.226095,1.4e-05
00080000,0.634456,0.510337,0.688007,0.679939,83.5806,0.653631,0.510337,0.509064,0.224276,1.2e-05
00090000,0.635076,0.510337,0.688834,0.680623,83.0902,0.649796,0.510337,0.512099,0.225825,1.2e-05
00100000,0.635772,0.510337,0.689848,0.681944,82.6601,0.646432,0.510337,0.513336,0.226113,1.3e-05
00110000,0.637476,0.510337,0.690487,0.682601,82.3829,0.644264,0.510337,0.492,0.228111,1.2e-05
00120000,0.638947,0.510337,0.691346,0.683477,82.0416,0.641595,0.510337,0.498181,0.226914,1.2e-05
00130000,0.636702,0.510337,0.691958,0.684541,81.7666,0.639444,0.510337,0.511599,0.224625,1.2e-05
00140000,0.640728,0.510337,0.69268,0.685296,81.5631,0.637853,0.510337,0.50473,0.226135,1.2e-05
00150000,0.637708,0.510337,0.693544,0.686435,81.3786,0.63641,0.510337,0.512159,0.227288,1.3e-05
00160000,0.638018,0.510337,0.694107,0.687017,81.3563,0.636236,0.510337,0.487928,0.22425,1.4e-05
00170000,0.640496,0.510337,0.694846,0.688366,81.0949,0.634192,0.510337,0.511646,0.224806,1.2e-05
00180000,0.642431,0.510337,0.695582,0.689161,80.9982,0.633436,0.510337,0.501215,0.224342,1.4e-05
00190000,0.640108,0.510337,0.696212,0.690418,80.8901,0.63259,0.510337,0.518043,0.223931,1.3e-05
00200000,0.640341,0.510337,0.697135,0.69161,80.7988,0.631876,0.510337,0.51951,0.227217,1.3e-05
00210000,0.64158,0.510337,0.697635,0.692265,80.7539,0.631525,0.510337,0.493297,0.224709,1.3e-05
00220000,0.643593,0.510337,0.698417,0.693168,80.6342,0.630589,0.510337,0.496556,0.227054,1.5e-05
00230000,0.643206,0.510337,0.699423,0.694612,80.5152,0.629658,0.510337,0.517878,0.224658,1.3e-05
00240000,0.640031,0.510337,0.700003,0.695261,80.5645,0.630044,0.510337,0.48662,0.224241,1.4e-05
00250000,0.644367,0.510337,0.700858,0.696626,80.3473,0.628345,0.510337,0.500716,0.223187,1.3e-05
00260000,0.644599,0.510337,0.701977,0.698356,80.2801,0.627819,0.510337,0.521725,0.223966,1.6e-05
00270000,0.646225,0.510337,0.702518,0.698929,80.1548,0.62684,0.510337,0.508386,0.224836,1.5e-05
00280000,0.645916,0.510337,0.703459,0.700197,80.0805,0.626258,0.510337,0.503726,0.224538,1.4e-05
00290000,0.647232,0.510337,0.704513,0.70165,79.9815,0.625484,0.510337,0.513372,0.225475,1.2e-05
00300000,0.647154,0.510337,0.705176,0.702304,79.98,0.625473,0.510337,0.492924,0.224811,1.5e-05
