global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.715679,0.510337,0.821436,0.831308,69.4564,0.543175,0.510337,0.411765,0.260653,1.4e-05
00020000,0.771351,0.510337,0.854709,0.867164,60.1364,0.470288,0.510337,0.516213,0.254654,1.6e-05
00030000,0.789624,0.510337,0.878242,0.891464,55.9705,0.43771,0.510337,0.541738,0.255534,1.5e-05
00040000,0.802168,0.510337,0.889475,0.902128,53.2498,0.416433,0.510337,0.494978,0.255762,1.2e-05
00050000,0.814092,0.510337,0.904172,0.916421,51.399,0.401959,0.510337,0.566736,0.256289,1.3e-05
00060000,0.832288,0.510337,0.913841,0.926027,47.2842,0.36978,0.510337,0.522038,0.256628,1.2e-05
00070000,0.83585,0.510337,0.919301,0.931744,47.0214,0.367724,0.510337,0.465306,0.256557,1.5e-05
00080000,0.852265,0.510337,0.928294,0.938601,43.4842,0.340062,0.510337,0.504414,0.256561,1.3e-05
00090000,0.855285,0.510337,0.936735,0.946131,41.9206,0.327834,0.510337,0.549265,0.254296,1.2e-05
00100000,0.866667,0.510337,0.940119,0.9498,40.0225,0.312991,0.510337,0.490694,0.254952,1.4e-05
00110000,0.859233,0.510337,0.947537,0.956299,40.2625,0.314867,0.510337,0.574122,0.254422,1.4e-05
00120000,0.887108,0.510337,0.949592,0.957815,37.3954,0.292446,0.510337,0.487317,0.253917,1.3e-05
00130000,0.892063,0.510337,0.955642,0.963165,35.0607,0.274187,0.510337,0.53583,0.254708,1.4e-05
00140000,0.88765,0.510337,0.958267,0.96547,35.0838,0.274368,0.510337,0.554244,0.254625,1.5e-05
00150000,0.895703,0.510337,0.957418,0.964967,35.6326,0.27866,0.510337,0.466074,0.253486,1.5e-05
00160000,0.905614,0.510337,0.961392,0.968163,33.4053,0.261242,0.510337,0.476437,0.256084,1.2e-05
00170000,0.909717,0.510337,0.961709,0.968924,32.6407,0.255262,0.510337,0.48265,0.25382,1.5e-05
00180000,0.899806,0.510337,0.96209,0.969284,33.1406,0.259172,0.510337,0.543913,0.257647,1.2e-05
00190000,0.904684,0.510337,0.965942,0.972264,31.4579,0.246012,0.510337,0.545364,0.253143,1.3e-05
00200000,0.918854,0.510337,0.96719,0.973488,29.8016,0.233059,0.510337,0.496298,0.253075,1.6e-05
00210000,0.918544,0.510337,0.968851,0.974874,30.8702,0.241416,0.510337,0.467955,0.253924,1.5e-05
00220000,0.924352,0.510337,0.97006,0.975477,29.0326,0.227046,0.510337,0.481553,0.256605,1.5e-05
00230000,0.916609,0.510337,0.970956,0.976886,29.269,0.228895,0.510337,0.546963,0.254071,1.4e-05
00240000,0.91235,0.510337,0.967733,0.974172,33.7323,0.263799,0.510337,0.451104,0.253234,1.6e-05
00250000,0.923268,0.510337,0.971565,0.977288,28.4769,0.2227,0.510337,0.533964,0.253186,1.6e-05
00260000,0.923345,0.510337,0.972851,0.978022,30.096,0.235362,0.510337,0.461235,0.25398,1.5e-05
00270000,0.930856,0.510337,0.97415,0.978897,26.1769,0.204713,0.510337,0.501892,0.257295,1.6e-05
00280000,0.931552,0.510337,0.973432,0.978516,26.8645,0.21009,0.510337,0.518695,0.252856,1.4e-05
00290000,0.937979,0.510337,0.975215,0.980112,25.6165,0.200331,0.510337,0.504859,0.253777,1.6e-05
00300000,0.931785,0.510337,0.972457,0.978065,27.25,0.213105,0.510337,0.512097,0.2585,1.3e-05
