global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.996501,0.526361,0.999151,0.999515,1.73566,0.0135745,0.473639,0.470544,0.819323,2.4e-05
00020000,0.99669,0.526361,0.998814,0.999372,1.9729,0.0154299,0.473639,0.470195,0.688561,1.4e-05
00030000,0.997449,0.526361,0.998976,0.999448,1.62136,0.0126805,0.473639,0.471339,0.691904,1.2e-05
00040000,0.997238,0.526361,0.999161,0.999549,1.60774,0.0125739,0.473639,0.471064,0.692629,1.2e-05
00050000,0.997217,0.526361,0.999245,0.99959,1.65787,0.012966,0.473639,0.471195,0.673606,1.2e-05
00060000,0.997976,0.526361,0.999052,0.999494,1.66187,0.0129973,0.473639,0.471798,0.688965,1.1e-05
00070000,0.997133,0.526361,0.998752,0.999342,2.62521,0.0205315,0.473639,0.470824,0.688178,1.2e-05
00080000,0.996901,0.526361,0.998772,0.999352,2.32381,0.0181743,0.473639,0.470637,0.691718,1.4e-05
00090000,0.997618,0.526361,0.999018,0.999482,2.09203,0.0163616,0.473639,0.471439,0.689675,1.3e-05
00100000,0.997744,0.526361,0.998972,0.999456,2.07891,0.0162589,0.473639,0.471511,0.688755,1.3e-05
00110000,0.997702,0.526361,0.99893,0.999436,2.49113,0.0194829,0.473639,0.47139,0.687612,1.1e-05
00120000,0.99747,0.526361,0.998597,0.999261,3.24937,0.025413,0.473639,0.47117,0.646503,1.3e-05
00130000,0.997829,0.526361,0.999063,0.999505,2.50263,0.0195728,0.473639,0.47159,0.648211,1.6e-05
00140000,0.997723,0.526361,0.998885,0.999412,2.83452,0.0221685,0.473639,0.471516,0.654719,1.3e-05
00150000,0.997871,0.526361,0.999128,0.999538,2.27115,0.0177625,0.473639,0.471806,0.64254,1.2e-05
00160000,0.997618,0.526361,0.998864,0.999402,2.7872,0.0217984,0.473639,0.471456,0.657566,1.3e-05
00170000,0.997702,0.526361,0.998886,0.999412,2.51676,0.0196833,0.473639,0.471648,0.709943,2.2e-05
00180000,0.997808,0.526361,0.998909,0.999425,2.7013,0.0211266,0.473639,0.471568,0.712864,1.5e-05
00190000,0.997808,0.526361,0.998864,0.999402,2.72109,0.0212814,0.473639,0.4716,0.692574,1.4e-05
00200000,0.997829,0.526361,0.998798,0.999367,2.63345,0.0205959,0.473639,0.471667,0.789081,1.6e-05
00210000,0.997702,0.526361,0.998953,0.999449,2.59132,0.0202664,0.473639,0.471471,0.695494,1.1e-05
00220000,0.998103,0.526361,0.999065,0.999507,2.61157,0.0204249,0.473639,0.471923,0.82524,2.6e-05
00230000,0.997808,0.526361,0.999042,0.999495,2.77396,0.0216949,0.473639,0.471629,0.77311,1.3e-05
00240000,0.997744,0.526361,0.998864,0.999402,2.99806,0.0234476,0.473639,0.471559,0.744883,1.3e-05
00250000,0.997976,0.526361,0.998864,0.999402,3.46868,0.0271282,0.473639,0.471706,0.732815,1.4e-05
00260000,0.997808,0.526361,0.998753,0.999343,3.3578,0.026261,0.473639,0.471573,0.75518,1.5e-05
00270000,0.997723,0.526361,0.998886,0.999413,4.13202,0.0323161,0.473639,0.471531,0.741086,2e-05
00280000,0.997829,0.526361,0.99902,0.999484,3.85218,0.0301275,0.473639,0.471631,0.671338,1.2e-05
00290000,0.997744,0.526361,0.998998,0.999472,3.71072,0.0290212,0.473639,0.471549,0.731969,1.3e-05
00300000,0.997808,0.526361,0.998889,0.999403,4.12582,0.0322676,0.473639,0.47162,0.783746,1.5e-05
