global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.969799,0.701342,0.992172,0.993982,13.5791,0.106324,0.298658,0.268416,0.219228
00020000,0.973154,0.701342,0.977528,0.98424,23.0981,0.180858,0.298658,0.270371,0.209188
00030000,0.972036,0.701342,0.968165,0.977673,33.4535,0.26194,0.298658,0.270597,0.212358
00040000,0.970917,0.701342,0.968165,0.977673,43.0935,0.337421,0.298658,0.270477,0.213412
00050000,0.970917,0.701342,0.968165,0.977673,48.0827,0.376486,0.298658,0.270667,0.212086
00060000,0.970917,0.701342,0.968165,0.977673,49.8014,0.389944,0.298658,0.270732,0.20803
00070000,0.970917,0.701342,0.968165,0.977673,50.7562,0.39742,0.298658,0.270745,0.211025
00080000,0.970917,0.701342,0.968165,0.977673,51.4057,0.402505,0.298658,0.270753,0.209677
00090000,0.970917,0.701342,0.968165,0.977673,51.9043,0.40641,0.298658,0.270755,0.211813
00100000,0.970917,0.701342,0.966292,0.976359,52.3106,0.409591,0.298658,0.270754,0.21424
00110000,0.970917,0.701342,0.966292,0.976359,52.651,0.412256,0.298658,0.270752,0.212195
00120000,0.970917,0.701342,0.966292,0.976359,52.9436,0.414548,0.298658,0.27075,0.211227
00130000,0.970917,0.701342,0.966292,0.976359,53.1984,0.416542,0.298658,0.270749,0.211736
00140000,0.970917,0.701342,0.966292,0.976359,53.4269,0.418332,0.298658,0.270747,0.211657
00150000,0.970917,0.701342,0.966292,0.976359,53.6306,0.419926,0.298658,0.270746,0.211873
00160000,0.970917,0.701342,0.966292,0.976359,53.817,0.421386,0.298658,0.270745,0.216875
00170000,0.970917,0.701342,0.966292,0.976359,53.9879,0.422724,0.298658,0.270743,0.21076
00180000,0.970917,0.701342,0.966292,0.976359,54.143,0.423939,0.298658,0.270742,0.212042
00190000,0.970917,0.701342,0.966292,0.976359,54.2866,0.425063,0.298658,0.270741,0.216408
00200000,0.970917,0.701342,0.966292,0.976359,54.423,0.426131,0.298658,0.270739,0.211665
00210000,0.970917,0.701342,0.966292,0.976359,54.5529,0.427148,0.298658,0.270737,0.210672
00220000,0.970917,0.701342,0.966292,0.976359,54.6726,0.428086,0.298658,0.270735,0.210234
00230000,0.970917,0.701342,0.966292,0.976359,54.7835,0.428953,0.298658,0.270734,0.209886
00240000,0.970917,0.701342,0.966292,0.976359,54.8854,0.429752,0.298658,0.270734,0.207531
00250000,0.970917,0.701342,0.966292,0.976359,54.9807,0.430498,0.298658,0.270735,0.209243
00260000,0.970917,0.701342,0.966292,0.976359,55.0722,0.431214,0.298658,0.270735,0.210714
00270000,0.970917,0.701342,0.966292,0.976359,55.1615,0.431913,0.298658,0.270734,0.208421
00280000,0.970917,0.701342,0.966292,0.976359,55.2486,0.432595,0.298658,0.270732,0.208007
00290000,0.970917,0.701342,0.966292,0.976359,55.336,0.43328,0.298658,0.270729,0.210945
00300000,0.970917,0.701342,0.966292,0.976359,55.4213,0.433948,0.298658,0.270727,0.208331
