global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.980984,0.731544,0.989583,0.99238,11.6173,0.0909633,0.268456,0.249011,0.259062,1.4e-05
00020000,0.980984,0.731544,0.985417,0.989332,16.2056,0.126889,0.268456,0.24926,0.254418,2.2e-05
00030000,0.980984,0.731544,0.983333,0.987808,20.6629,0.16179,0.268456,0.249196,0.255613,1.4e-05
00040000,0.980984,0.731544,0.983333,0.987808,23.8286,0.186577,0.268456,0.24909,0.253724,2e-05
00050000,0.980984,0.731544,0.98125,0.986284,24.9429,0.195303,0.268456,0.249075,0.253958,1.7e-05
00060000,0.980984,0.731544,0.98125,0.986284,25.4476,0.199254,0.268456,0.249066,0.253784,1.5e-05
00070000,0.980984,0.731544,0.98125,0.986284,25.7725,0.201798,0.268456,0.24906,0.249286,1.6e-05
00080000,0.980984,0.731544,0.98125,0.986284,26.0143,0.203692,0.268456,0.249054,0.256099,1.3e-05
00090000,0.980984,0.731544,0.98125,0.986284,26.2059,0.205191,0.268456,0.249049,0.256611,1.6e-05
00100000,0.980984,0.731544,0.98125,0.986284,26.3634,0.206425,0.268456,0.249044,0.254887,1.4e-05
00110000,0.980984,0.731544,0.98125,0.986284,26.4983,0.207481,0.268456,0.24904,0.254905,1.6e-05
00120000,0.980984,0.731544,0.98125,0.986284,26.6164,0.208405,0.268456,0.249035,0.258271,1.7e-05
00130000,0.980984,0.731544,0.98125,0.986284,26.7205,0.209221,0.268456,0.249031,0.256321,1.5e-05
00140000,0.980984,0.731544,0.98125,0.986284,26.8142,0.209955,0.268456,0.249028,0.255152,2e-05
00150000,0.980984,0.731544,0.98125,0.986284,26.8999,0.210625,0.268456,0.249024,0.257926,1.7e-05
00160000,0.980984,0.731544,0.98125,0.986284,26.9772,0.211231,0.268456,0.249022,0.256111,1.7e-05
00170000,0.980984,0.731544,0.98125,0.986284,27.0487,0.211791,0.268456,0.24902,0.25256,1.9e-05
00180000,0.980984,0.731544,0.98125,0.986284,27.1144,0.212305,0.268456,0.249018,0.255028,1.7e-05
00190000,0.980984,0.731544,0.98125,0.986284,27.1759,0.212787,0.268456,0.249017,0.25119,2e-05
00200000,0.980984,0.731544,0.98125,0.986284,27.2338,0.21324,0.268456,0.249015,0.258269,1.4e-05
00210000,0.980984,0.731544,0.979167,0.98476,27.289,0.213672,0.268456,0.249014,0.254924,1.4e-05
00220000,0.980984,0.731544,0.979167,0.98476,27.3419,0.214087,0.268456,0.249012,0.256733,1.7e-05
00230000,0.980984,0.731544,0.979167,0.98476,27.3921,0.21448,0.268456,0.249011,0.258763,1.9e-05
00240000,0.980984,0.731544,0.979167,0.98476,27.4402,0.214856,0.268456,0.249009,0.257902,1.3e-05
00250000,0.980984,0.731544,0.979167,0.98476,27.4848,0.215205,0.268456,0.249008,0.253812,1.4e-05
00260000,0.980984,0.731544,0.979167,0.98476,27.5274,0.215539,0.268456,0.249007,0.257713,1.7e-05
00270000,0.980984,0.731544,0.979167,0.98476,27.5669,0.215848,0.268456,0.249006,0.255494,1.6e-05
00280000,0.980984,0.731544,0.979167,0.98476,27.6043,0.216141,0.268456,0.249006,0.254952,1.3e-05
00290000,0.980984,0.731544,0.979167,0.98476,27.6401,0.216421,0.268456,0.249006,0.251602,1.5e-05
00300000,0.980984,0.731544,0.979167,0.98476,27.6741,0.216687,0.268456,0.249007,0.255416,1.4e-05
