global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.903803,0.701342,0.979673,0.958157,32.74,0.256353,0.298658,0.271444,0.212213
00020000,0.95302,0.701342,0.991554,0.985093,17.7924,0.139314,0.298658,0.265893,0.213282
00030000,0.96085,0.701342,0.993761,0.99161,12.5985,0.0986461,0.298658,0.267895,0.21429
00040000,0.964206,0.701342,0.994355,0.993036,11.0726,0.0866979,0.298658,0.26797,0.211373
00050000,0.967562,0.701342,0.99121,0.992378,11.5497,0.0904338,0.298658,0.267504,0.213352
00060000,0.96868,0.701342,0.991775,0.993186,13.1891,0.10327,0.298658,0.267614,0.209192
00070000,0.969799,0.701342,0.986772,0.990524,15.325,0.119994,0.298658,0.268107,0.21373
00080000,0.969799,0.701342,0.983146,0.98818,17.7642,0.139093,0.298658,0.268626,0.21501
00090000,0.970917,0.701342,0.979401,0.985553,20.4697,0.160277,0.298658,0.269015,0.211732
00100000,0.972036,0.701342,0.975655,0.982926,23.4088,0.18329,0.298658,0.269287,0.212516
00110000,0.970917,0.701342,0.973783,0.981613,26.5599,0.207964,0.298658,0.269431,0.210842
00120000,0.970917,0.701342,0.97191,0.980299,29.8831,0.233984,0.298658,0.269514,0.212507
00130000,0.969799,0.701342,0.968165,0.977673,33.381,0.261372,0.298658,0.269525,0.211953
00140000,0.969799,0.701342,0.968165,0.977673,36.8352,0.288419,0.298658,0.269532,0.214796
00150000,0.969799,0.701342,0.968165,0.977673,39.8884,0.312325,0.298658,0.269554,0.213896
00160000,0.969799,0.701342,0.968165,0.977673,42.2339,0.330691,0.298658,0.269612,0.217973
00170000,0.970917,0.701342,0.968165,0.977673,43.8861,0.343627,0.298658,0.269698,0.212016
00180000,0.970917,0.701342,0.968165,0.977673,45.0524,0.352759,0.298658,0.269777,0.215092
00190000,0.970917,0.701342,0.968165,0.977673,45.8958,0.359363,0.298658,0.269846,0.217483
00200000,0.970917,0.701342,0.968165,0.977673,46.5455,0.36445,0.298658,0.269899,0.214252
00210000,0.970917,0.701342,0.968165,0.977673,47.0608,0.368485,0.298658,0.269943,0.210774
00220000,0.970917,0.701342,0.968165,0.977673,47.4906,0.37185,0.298658,0.269976,0.213347
00230000,0.970917,0.701342,0.968165,0.977673,47.8549,0.374703,0.298658,0.270002,0.215134
00240000,0.970917,0.701342,0.966292,0.976359,48.1732,0.377195,0.298658,0.270022,0.21146
00250000,0.970917,0.701342,0.966292,0.976359,48.454,0.379394,0.298658,0.270037,0.210665
00260000,0.970917,0.701342,0.966292,0.976359,48.7066,0.381372,0.298658,0.270049,0.208699
00270000,0.970917,0.701342,0.966292,0.976359,48.9342,0.383154,0.298658,0.270058,0.210763
00280000,0.970917,0.701342,0.966292,0.976359,49.1409,0.384772,0.298658,0.270066,0.212583
00290000,0.970917,0.701342,0.966292,0.976359,49.3319,0.386268,0.298658,0.270072,0.214309
00300000,0.970917,0.701342,0.966292,0.976359,49.5059,0.38763,0.298658,0.270077,0.211609
