global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.980984,0.730425,0.991946,0.990691,11.4804,0.0898915,0.269575,0.26166,0.268518
00020000,0.985459,0.730425,0.992546,0.993207,6.98611,0.0547011,0.269575,0.254936,0.267086
00030000,0.986577,0.730425,0.991676,0.993869,9.27844,0.07265,0.269575,0.254968,0.269251
00040000,0.985459,0.730425,0.991701,0.993938,12.6118,0.0987497,0.269575,0.255269,0.271077
00050000,0.985459,0.730425,0.989627,0.992423,16.0404,0.125596,0.269575,0.25558,0.273762
00060000,0.986577,0.730425,0.987552,0.990908,19.1039,0.149583,0.269575,0.256098,0.264844
00070000,0.986577,0.730425,0.987552,0.990908,21.3813,0.167415,0.269575,0.256211,0.270596
00080000,0.986577,0.730425,0.987552,0.990908,22.4721,0.175956,0.269575,0.256234,0.268985
00090000,0.986577,0.730425,0.987552,0.990908,22.9979,0.180073,0.269575,0.25627,0.270555
00100000,0.986577,0.730425,0.987552,0.990908,23.438,0.183519,0.269575,0.256256,0.268413
00110000,0.986577,0.730425,0.987552,0.990908,23.6435,0.185128,0.269575,0.256292,0.265899
00120000,0.986577,0.730425,0.987552,0.990908,23.9083,0.187201,0.269575,0.256281,0.268043
00130000,0.986577,0.730425,0.987552,0.990908,24.1211,0.188868,0.269575,0.256275,0.263628
00140000,0.986577,0.730425,0.987552,0.990908,24.238,0.189783,0.269575,0.256292,0.271279
00150000,0.986577,0.730425,0.987552,0.990908,24.3618,0.190752,0.269575,0.256299,0.268467
00160000,0.986577,0.730425,0.985477,0.989392,24.5364,0.19212,0.269575,0.256283,0.273698
00170000,0.986577,0.730425,0.985477,0.989392,24.6361,0.1929,0.269575,0.256287,0.270954
00180000,0.986577,0.730425,0.983402,0.987877,24.7353,0.193677,0.269575,0.256289,0.273415
00190000,0.986577,0.730425,0.983402,0.987877,24.8354,0.19446,0.269575,0.256286,0.27817
00200000,0.986577,0.730425,0.983402,0.987877,24.897,0.194943,0.269575,0.256294,0.271399
00210000,0.986577,0.730425,0.983402,0.987877,24.9782,0.195579,0.269575,0.256293,0.269555
00220000,0.986577,0.730425,0.983402,0.987877,25.0475,0.196121,0.269575,0.256295,0.268879
00230000,0.986577,0.730425,0.983402,0.987877,25.1328,0.196789,0.269575,0.25629,0.271559
00240000,0.986577,0.730425,0.983402,0.987877,25.2004,0.197319,0.269575,0.256289,0.268416
00250000,0.986577,0.730425,0.983402,0.987877,25.2207,0.197478,0.269575,0.256301,0.268477
00260000,0.986577,0.730425,0.983402,0.987877,25.3001,0.198099,0.269575,0.256293,0.266425
00270000,0.986577,0.730425,0.983402,0.987877,25.3495,0.198486,0.269575,0.256294,0.266898
00280000,0.986577,0.730425,0.983402,0.987877,25.4071,0.198937,0.269575,0.256292,0.263947
00290000,0.986577,0.730425,0.983402,0.987877,25.4413,0.199204,0.269575,0.256297,0.265825
00300000,0.986577,0.730425,0.983402,0.987877,25.4972,0.199642,0.269575,0.256296,0.270818
