global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.989933,0.713647,0.992188,0.994425,11.3911,0.0891919,0.286353,0.274572,0.289039,1.4e-05
00020000,0.989933,0.713647,0.992188,0.994425,15.5304,0.121603,0.286353,0.27521,0.290188,1.7e-05
00030000,0.989933,0.713647,0.988281,0.991637,19.5002,0.152686,0.286353,0.27542,0.285031,1.2e-05
00040000,0.989933,0.713647,0.986328,0.990243,22.3207,0.17477,0.286353,0.275612,0.287492,1.3e-05
00050000,0.989933,0.713647,0.986328,0.990243,23.263,0.182148,0.286353,0.275651,0.284388,1.5e-05
00060000,0.989933,0.713647,0.986328,0.990243,23.6966,0.185544,0.286353,0.275675,0.287235,1.2e-05
00070000,0.989933,0.713647,0.986328,0.990243,23.9811,0.187772,0.286353,0.27569,0.289045,1.4e-05
00080000,0.989933,0.713647,0.986328,0.990243,24.1782,0.189315,0.286353,0.275711,0.282799,1.8e-05
00090000,0.989933,0.713647,0.986328,0.990243,24.3543,0.190693,0.286353,0.275713,0.283971,1.3e-05
00100000,0.989933,0.713647,0.986328,0.990243,24.4964,0.191806,0.286353,0.275718,0.28575,1.4e-05
00110000,0.989933,0.713647,0.986328,0.990243,24.6134,0.192722,0.286353,0.275725,0.288208,1.3e-05
00120000,0.989933,0.713647,0.986328,0.990243,24.7183,0.193544,0.286353,0.27573,0.285532,1.5e-05
00130000,0.989933,0.713647,0.986328,0.990243,24.8038,0.194213,0.286353,0.27574,0.28359,1.9e-05
00140000,0.989933,0.713647,0.986328,0.990243,24.892,0.194904,0.286353,0.275741,0.285145,1.3e-05
00150000,0.989933,0.713647,0.986328,0.990243,24.9709,0.195521,0.286353,0.275741,0.287136,1.4e-05
00160000,0.989933,0.713647,0.986328,0.990243,25.0365,0.196036,0.286353,0.275748,0.286618,1.3e-05
00170000,0.989933,0.713647,0.986328,0.990243,25.1031,0.196557,0.286353,0.27575,0.285484,1.7e-05
00180000,0.989933,0.713647,0.986328,0.990243,25.1588,0.196993,0.286353,0.275756,0.282699,1.7e-05
00190000,0.989933,0.713647,0.986328,0.990243,25.2206,0.197477,0.286353,0.275753,0.28571,1.4e-05
00200000,0.989933,0.713647,0.986328,0.990243,25.263,0.197809,0.286353,0.275762,0.282425,1.3e-05
00210000,0.989933,0.713647,0.986328,0.990243,25.3148,0.198215,0.286353,0.275762,0.286544,1.5e-05
00220000,0.989933,0.713647,0.986328,0.990243,25.3711,0.198655,0.286353,0.275757,0.289466,2.1e-05
00230000,0.989933,0.713647,0.986328,0.990243,25.4057,0.198926,0.286353,0.275767,0.282913,1.9e-05
00240000,0.989933,0.713647,0.986328,0.990243,25.4478,0.199256,0.286353,0.275769,0.283789,1.9e-05
00250000,0.989933,0.713647,0.986328,0.990243,25.4937,0.199615,0.286353,0.275768,0.28688,1.5e-05
00260000,0.989933,0.713647,0.986328,0.990243,25.5284,0.199886,0.286353,0.275774,0.283162,1.8e-05
00270000,0.989933,0.713647,0.986328,0.990243,25.5687,0.200203,0.286353,0.275774,0.285051,1.6e-05
00280000,0.989933,0.713647,0.986328,0.990243,25.6014,0.200458,0.286353,0.275777,0.2842,2.3e-05
00290000,0.989933,0.713647,0.986328,0.990243,25.6386,0.200749,0.286353,0.275775,0.284413,2.1e-05
00300000,0.989933,0.713647,0.986328,0.990243,25.6668,0.200971,0.286353,0.275779,0.286725,1.5e-05
