global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.730425,0.730425,0.957829,0.923162,67.6459,0.529666,0.269575,0.272668,0.271251
00020000,0.772931,0.730425,0.959752,0.928132,57.0764,0.446907,0.269575,0.26809,0.265162
00030000,0.846756,0.730425,0.967351,0.941922,46.3202,0.362686,0.269575,0.267282,0.26413
00040000,0.897092,0.730425,0.975174,0.956707,37.129,0.290719,0.269575,0.266798,0.271958
00050000,0.938479,0.730425,0.981906,0.969906,29.7042,0.232583,0.269575,0.266101,0.26953
00060000,0.955257,0.730425,0.986656,0.979198,23.7843,0.18623,0.269575,0.265394,0.268414
00070000,0.964206,0.730425,0.989242,0.98478,19.1291,0.149781,0.269575,0.265151,0.274154
00080000,0.973154,0.730425,0.990837,0.987833,15.5513,0.121767,0.269575,0.263936,0.266695
00090000,0.977629,0.730425,0.991692,0.98955,12.8408,0.100544,0.269575,0.263222,0.264599
00100000,0.980984,0.730425,0.992197,0.990772,10.8431,0.0849014,0.269575,0.261919,0.271518
00110000,0.980984,0.730425,0.99199,0.991355,9.40309,0.073626,0.269575,0.260663,0.276206
00120000,0.982103,0.730425,0.992734,0.992054,8.38721,0.0656716,0.269575,0.259563,0.265085
00130000,0.982103,0.730425,0.992048,0.992062,7.69134,0.0602231,0.269575,0.258451,0.269041
00140000,0.982103,0.730425,0.992518,0.992361,7.23475,0.0566479,0.269575,0.257567,0.271659
00150000,0.982103,0.730425,0.992677,0.992525,6.97951,0.0546494,0.269575,0.256673,0.269878
00160000,0.98434,0.730425,0.993385,0.99315,6.86953,0.0537883,0.269575,0.25597,0.279082
00170000,0.986577,0.730425,0.992175,0.99278,6.88022,0.0538719,0.269575,0.255467,0.267181
00180000,0.986577,0.730425,0.992731,0.993416,7.00328,0.0548355,0.269575,0.255104,0.272114
00190000,0.986577,0.730425,0.993064,0.993929,7.21944,0.0565281,0.269575,0.254864,0.277193
00200000,0.986577,0.730425,0.993318,0.99437,7.47504,0.0585294,0.269575,0.25483,0.268778
00210000,0.986577,0.730425,0.993547,0.994866,7.79961,0.0610708,0.269575,0.254818,0.26399
00220000,0.986577,0.730425,0.993652,0.995125,8.17866,0.0640387,0.269575,0.254839,0.267019
00230000,0.986577,0.730425,0.99165,0.993801,8.57123,0.0671126,0.269575,0.254925,0.268509
00240000,0.986577,0.730425,0.991676,0.993869,9.03099,0.0707125,0.269575,0.254959,0.269902
00250000,0.986577,0.730425,0.991688,0.993904,9.50414,0.0744172,0.269575,0.255023,0.267948
00260000,0.986577,0.730425,0.991701,0.993938,10.0016,0.0783126,0.269575,0.255077,0.265954
00270000,0.986577,0.730425,0.991701,0.993938,10.5027,0.0822361,0.269575,0.255153,0.265308
00280000,0.986577,0.730425,0.991701,0.993938,11.031,0.0863727,0.269575,0.25521,0.260938
00290000,0.986577,0.730425,0.991701,0.993938,11.5724,0.0906118,0.269575,0.255258,0.269651
00300000,0.986577,0.730425,0.991701,0.993938,12.1302,0.0949789,0.269575,0.255303,0.269406
