global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.56455,0.501682,0.577912,0.632359,339.666,2.7139,0.498318,0.524726,0.470989,1.3e-05
00020000,0.555509,0.501682,0.573705,0.645076,552.301,4.41283,0.498318,0.484295,0.460151,1.5e-05
00030000,0.567914,0.501682,0.58658,0.615812,264.487,2.11323,0.498318,0.493372,0.453754,1.7e-05
00040000,0.576535,0.501682,0.583474,0.662552,885.06,7.07155,0.498318,0.49133,0.451462,1.3e-05
00050000,0.559504,0.501682,0.578452,0.653945,629.379,5.02868,0.498318,0.497922,0.4655,1.6e-05
00060000,0.561396,0.501682,0.568407,0.651481,1108.34,8.85555,0.498318,0.479739,0.460208,1.1e-05
00070000,0.577586,0.501682,0.587017,0.663685,724.487,5.78859,0.498318,0.493599,0.464094,1.6e-05
00080000,0.573802,0.501682,0.580552,0.654582,717.44,5.73228,0.498318,0.487538,0.462182,1.3e-05
00090000,0.56476,0.501682,0.574312,0.66057,1115.57,8.91333,0.498318,0.491496,0.45285,1.8e-05
00100000,0.567073,0.501682,0.578047,0.65559,596.484,4.76585,0.498318,0.52557,0.456153,1.2e-05
00110000,0.569596,0.501682,0.574112,0.666248,1817.2,14.5193,0.498318,0.489065,0.463189,1.4e-05
00120000,0.561606,0.501682,0.56659,0.659899,1487.33,11.8836,0.498318,0.500862,0.450776,1.4e-05
00130000,0.566863,0.501682,0.571863,0.665718,1644.66,13.1407,0.498318,0.505594,0.455121,1.3e-05
00140000,0.559504,0.501682,0.569456,0.662639,1616.62,12.9166,0.498318,0.505553,0.456982,1.6e-05
00150000,0.566232,0.501682,0.573622,0.669819,1547.93,12.3678,0.498318,0.522276,0.455867,1.4e-05
00160000,0.564971,0.501682,0.571338,0.667157,1551.26,12.3944,0.498318,0.525377,0.457126,1.5e-05
00170000,0.566863,0.501682,0.57176,0.671139,2090.5,16.7029,0.498318,0.522561,0.456897,1.1e-05
00180000,0.565181,0.501682,0.570769,0.671916,2507.16,20.032,0.498318,0.519663,0.455652,1.4e-05
00190000,0.565601,0.501682,0.569451,0.659308,1704.08,13.6155,0.498318,0.489245,0.461369,1.2e-05
00200000,0.557611,0.501682,0.569158,0.655073,1530.66,12.2298,0.498318,0.494959,0.456917,1.3e-05
00210000,0.558242,0.501682,0.56663,0.658966,1985.26,15.8621,0.498318,0.493883,0.456411,1.4e-05
00220000,0.563499,0.501682,0.581218,0.650355,815.584,6.51644,0.498318,0.509788,0.458423,1.4e-05
00230000,0.570648,0.501682,0.580182,0.658253,1029.28,8.22385,0.498318,0.503477,0.456167,2e-05
00240000,0.567494,0.501682,0.577439,0.658572,1089.17,8.70238,0.498318,0.501744,0.457122,1.3e-05
00250000,0.569807,0.501682,0.573947,0.66407,1623.62,12.9726,0.498318,0.503245,0.496004,1.4e-05
00260000,0.568965,0.501682,0.573338,0.670946,2700.91,21.58,0.498318,0.509425,0.498445,1.6e-05
00270000,0.570648,0.501682,0.575192,0.663485,1776.09,14.1908,0.498318,0.489451,0.501251,1.6e-05
00280000,0.569596,0.501682,0.577359,0.659012,1317.09,10.5234,0.498318,0.488058,0.493764,1.3e-05
00290000,0.567494,0.501682,0.573559,0.664192,2311.9,18.4718,0.498318,0.485478,0.496599,1.5e-05
00300000,0.567283,0.501682,0.574498,0.667826,2876.3,22.9813,0.498318,0.487248,0.503337,1.4e-05
