global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.552565,0.500421,0.569207,0.652437,699.744,5.59089,0.499579,0.52993,0.890246
00020000,0.550042,0.500421,0.563842,0.65621,1046.48,8.36126,0.499579,0.523857,0.882234
00030000,0.549201,0.500421,0.562393,0.659642,1362.52,10.8864,0.499579,0.522343,0.899342
00040000,0.547519,0.500421,0.55952,0.661056,1623.24,12.9695,0.499579,0.525522,0.881746
00050000,0.561396,0.500421,0.574806,0.66156,776.025,6.20037,0.499579,0.523665,0.907006
00060000,0.563499,0.500421,0.569814,0.668625,1389.59,11.1027,0.499579,0.520907,0.891281
00070000,0.56413,0.500421,0.568076,0.669445,1856.45,14.8329,0.499579,0.519311,0.896366
00080000,0.56413,0.500421,0.567602,0.670711,2213.82,17.6882,0.499579,0.5177,0.87713
00090000,0.555719,0.500421,0.577062,0.614332,320.436,2.56025,0.499579,0.542753,0.879076
00100000,0.55614,0.500421,0.569995,0.64713,659.059,5.26582,0.499579,0.4967,0.886748
00110000,0.562658,0.500421,0.568793,0.655195,739.65,5.90974,0.499579,0.547204,0.893615
00120000,0.558873,0.500421,0.566918,0.655419,842.377,6.73051,0.499579,0.517187,0.884381
00130000,0.560976,0.500421,0.576203,0.618893,433.242,3.46156,0.499579,0.567829,0.893773
00140000,0.558032,0.500421,0.571169,0.655323,907.178,7.24827,0.499579,0.51359,0.893689
00150000,0.560765,0.500421,0.567499,0.667249,977.281,7.80838,0.499579,0.566224,0.902277
00160000,0.56434,0.500421,0.578329,0.651017,650.584,5.19811,0.499579,0.507041,0.895065
00170000,0.559294,0.500421,0.569732,0.662224,1022.61,8.17053,0.499579,0.537295,0.897789
00180000,0.55677,0.500421,0.570581,0.64972,895.609,7.15583,0.499579,0.538997,0.884438
00190000,0.552775,0.500421,0.56285,0.640373,1048.4,8.37659,0.499579,0.494286,0.897626
00200000,0.561396,0.500421,0.568481,0.655299,1144.45,9.14402,0.499579,0.509945,0.894047
00210000,0.560765,0.500421,0.563637,0.667392,2189.42,17.4933,0.499579,0.520914,0.894106
00220000,0.559504,0.500421,0.562205,0.667073,2745.02,21.9324,0.499579,0.517187,0.901296
00230000,0.559294,0.500421,0.562316,0.667814,3166.26,25.2981,0.499579,0.516115,0.885682
00240000,0.557822,0.500421,0.561705,0.667401,3414.53,27.2818,0.499579,0.5136,0.878289
00250000,0.557191,0.500421,0.562924,0.66781,2722.99,21.7564,0.499579,0.520561,0.887886
00260000,0.558873,0.500421,0.562155,0.668339,3196.88,25.5428,0.499579,0.520906,0.904208
00270000,0.557822,0.500421,0.562194,0.668441,3576.14,28.5731,0.499579,0.517392,0.888556
00280000,0.559504,0.500421,0.561788,0.66758,3805.63,30.4066,0.499579,0.514161,0.891209
00290000,0.559714,0.500421,0.561365,0.667161,4051.91,32.3744,0.499579,0.511681,0.894982
00300000,0.558032,0.500421,0.560405,0.661656,2808.42,22.439,0.499579,0.511182,0.90835
