global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time,test_time
00010000,0.58894,0.515139,0.618693,0.632195,202.96,1.62163,0.484861,0.521786,0.731817,1.5e-05
00020000,0.584945,0.515139,0.620033,0.63911,232.572,1.85823,0.484861,0.514764,0.617986,1.3e-05
00030000,0.584735,0.515139,0.616818,0.644192,279.156,2.23043,0.484861,0.51501,0.626025,1.2e-05
00040000,0.581161,0.515139,0.617105,0.649894,336.556,2.68905,0.484861,0.533572,0.621414,1.2e-05
00050000,0.584104,0.515139,0.615415,0.647473,331.574,2.64925,0.484861,0.537288,0.629746,1.3e-05
00060000,0.58032,0.515139,0.612692,0.65102,406.501,3.24791,0.484861,0.517781,0.623335,1.5e-05
00070000,0.582843,0.515139,0.610844,0.651156,441.062,3.52405,0.484861,0.526745,0.621066,1.5e-05
00080000,0.573171,0.515139,0.605672,0.650082,480.249,3.83714,0.484861,0.52359,0.632006,1.3e-05
00090000,0.576955,0.515139,0.6089,0.652246,519.322,4.14933,0.484861,0.530129,0.619637,1.6e-05
00100000,0.584735,0.515139,0.611923,0.657572,523.019,4.17887,0.484861,0.527981,0.629905,1.2e-05
00110000,0.581371,0.515139,0.612612,0.660392,568.688,4.54376,0.484861,0.540852,0.619863,3.6e-05
00120000,0.574643,0.515139,0.607516,0.659763,605.219,4.83564,0.484861,0.53963,0.612609,1.3e-05
00130000,0.577376,0.515139,0.608008,0.662553,690.618,5.51798,0.484861,0.540598,0.615193,1.6e-05
00140000,0.578007,0.515139,0.608105,0.662041,649.972,5.19322,0.484861,0.536402,0.619217,1.3e-05
00150000,0.582843,0.515139,0.606315,0.665093,848.31,6.77792,0.484861,0.535643,0.615434,1.3e-05
00160000,0.585156,0.515139,0.604277,0.663206,915.958,7.31842,0.484861,0.533897,0.614078,1.4e-05
00170000,0.582422,0.515139,0.611004,0.664432,733.764,5.8627,0.484861,0.530496,0.623264,1.7e-05
00180000,0.578427,0.515139,0.607551,0.66585,860.505,6.87536,0.484861,0.540385,0.62262,1.5e-05
00190000,0.583684,0.515139,0.611715,0.664924,848.709,6.7811,0.484861,0.523439,0.623363,1.7e-05
00200000,0.581161,0.515139,0.597988,0.663116,1218.65,9.73692,0.484861,0.528201,0.635723,1.3e-05
00210000,0.579268,0.515139,0.60097,0.662003,1074.62,8.58613,0.484861,0.527887,0.626711,1.9e-05
00220000,0.576325,0.515139,0.602322,0.665522,1106.86,8.84372,0.484861,0.532367,0.623758,1.4e-05
00230000,0.574643,0.515139,0.598884,0.666187,1132.39,9.04767,0.484861,0.555076,0.622117,1.6e-05
00240000,0.579268,0.515139,0.60246,0.66444,1230.76,9.83368,0.484861,0.542385,0.627333,1.4e-05
00250000,0.575484,0.515139,0.601687,0.664405,1109.22,8.86259,0.484861,0.541594,0.622447,1.4e-05
00260000,0.579689,0.515139,0.603578,0.664226,1198.91,9.57919,0.484861,0.541102,0.63793,1.5e-05
00270000,0.576325,0.515139,0.599502,0.66431,1477.51,11.8052,0.484861,0.53255,0.615049,1.4e-05
00280000,0.570648,0.515139,0.603439,0.668096,1345.48,10.7503,0.484861,0.553088,0.621585,1.4e-05
00290000,0.575063,0.515139,0.600744,0.666161,1438.82,11.496,0.484861,0.549537,0.615284,1.2e-05
00300000,0.578427,0.515139,0.602527,0.667499,1566.3,12.5146,0.484861,0.53508,0.624026,1.7e-05
