global_step,accuracy,accuracy_baseline,auc,auc_precision_recall,loss,average_loss,label/mean,prediction/mean,train_time
00010000,0.574012,0.502944,0.593194,0.667415,496.809,3.96946,0.502944,0.501521,1.16707
00020000,0.56434,0.502944,0.576987,0.664712,654.646,5.23056,0.502944,0.527141,1.14205
00030000,0.571278,0.502944,0.580761,0.662939,687.913,5.49636,0.502944,0.506407,1.1522
00040000,0.574222,0.502944,0.586804,0.67176,787.635,6.29313,0.502944,0.511022,1.17102
00050000,0.576535,0.502944,0.592727,0.672847,659.817,5.27188,0.502944,0.516392,1.1495
00060000,0.577586,0.502944,0.589701,0.684881,1153.69,9.21785,0.502944,0.53495,1.14621
00070000,0.576535,0.502944,0.586717,0.684596,1487.52,11.8852,0.502944,0.536724,1.14484
00080000,0.577166,0.502944,0.584949,0.685519,1760.5,14.0662,0.502944,0.535879,1.15418
00090000,0.576325,0.502944,0.584089,0.685806,1937.78,15.4827,0.502944,0.534059,1.15846
00100000,0.576745,0.502944,0.583471,0.685425,2004.96,16.0194,0.502944,0.533422,1.1572
00110000,0.576535,0.502944,0.583227,0.685578,2038.66,16.2887,0.502944,0.533234,1.15554
00120000,0.576325,0.502944,0.582636,0.685306,2061.34,16.4699,0.502944,0.532888,1.15072
00130000,0.576325,0.502944,0.582506,0.685357,2078.13,16.6041,0.502944,0.532811,1.16513
00140000,0.576325,0.502944,0.582376,0.685408,2091.66,16.7122,0.502944,0.53268,1.15207
00150000,0.576325,0.502944,0.582378,0.685409,2102.9,16.802,0.502944,0.532601,1.151
00160000,0.576955,0.502944,0.58253,0.685485,2112.5,16.8787,0.502944,0.532552,1.15718
00170000,0.577586,0.502944,0.582808,0.685634,2121.02,16.9467,0.502944,0.532426,1.14848
00180000,0.577586,0.502944,0.582884,0.685672,2128.56,17.007,0.502944,0.532377,1.14578
00190000,0.577586,0.502944,0.582887,0.685674,2135.35,17.0612,0.502944,0.532323,1.15423
00200000,0.577586,0.502944,0.582976,0.685813,2141.57,17.1109,0.502944,0.532258,1.16141
00210000,0.577796,0.502944,0.583054,0.685852,2147.26,17.1564,0.502944,0.532262,1.156
00220000,0.577796,0.502944,0.583054,0.685852,2152.54,17.1986,0.502944,0.532238,1.15589
00230000,0.577796,0.502944,0.583055,0.685852,2157.45,17.2378,0.502944,0.532223,1.15721
00240000,0.577796,0.502944,0.582803,0.685832,2162.03,17.2744,0.502944,0.532201,1.15272
00250000,0.577796,0.502944,0.582679,0.68576,2166.31,17.3086,0.502944,0.532197,1.14388
00260000,0.577796,0.502944,0.582844,0.685937,2170.35,17.3409,0.502944,0.532178,1.15437
00270000,0.577796,0.502944,0.582844,0.685937,2174.14,17.3712,0.502944,0.532169,1.14418
00280000,0.577586,0.502944,0.582735,0.685893,2177.74,17.3999,0.502944,0.532145,1.16079
00290000,0.577586,0.502944,0.582733,0.685892,2181.11,17.4269,0.502944,0.532149,1.14691
00300000,0.577376,0.502944,0.582734,0.685893,2184.34,17.4527,0.502944,0.532128,1.15032
