From	To
Q10S82	Os03g0131200
Q7X809	Os04g0623300
Q0D9C4	Os06g0727200
Q84LK3	Os08g0424500
O24174	Os04g0464200
Q10CE4	Os03g0786100
Q8W1L6	Os02g0274100
Q0J954	Os04g0671300
Q6Z965	Os08g0459600
Q7XR46	Os04g0671200
Q8H3I4	Os07g0616500
Q7FAS1	Os04g0623500
Q6Z6M4	Os07g0529000
Q6YT73	Os07g0152900
Q6ZJJ1	Os08g0549100
Q0JEQ2	Os04g0223300
Q42972	Os12g0632700
Q75LJ4	Os03g0835600
Q652V8	Os06g0253100
Q8S3R2	Os02g0707100
Q5VRJ8	Os06g0127000
Q10MN2	Os03g0302000
Q10SM7	Os03g0117100
Q7XUG1	Os04g0486950
Q10MN3	Os03g0301950
Q7XU74	Os04g0534600
Q7XKI7	Os04g0527700
