From	To
Q7XX84	Os04g0169100
Q7XIT1	Os07g0471000
Q5VRM7	Os06g0110000
Q10PL5	Os03g0230500
Q6Z7B0	Os02g0115900
Q7XDI3	Os10g0471100
Q7X7S8	Os04g0600800
Q5U9F2	Os09g0488000
Q53LQ0	Os11g0199200
Q0JL46	Os01g0624000
Q10RE2	Os03g0162000
Q69XV0	Os06g0622700
Q7X6L2	Os04g0444300
Q6ETL8	Os02g0178800
Q2QUC5	Os12g0268000
B9FMJ3	Os05g0154700
Q0DKM0	Os05g0155200
Q8VWH2	Os06g0157500
Q0DWC7	Os02g0820900
Q6AU90	Os05g0411300
Q6K881	Os02g0290500
Q53RH0	Os03g0701700
Q2QMN7	Os12g0597500
Q5KQH7	Os05g0482400
Q9SLY8	Os07g0246200
Q7XI45	Os07g0622900
Q53RJ5	Os03g0710500
Q75HQ0	Os05g0428600
Q6L590	Os05g0367800
Q7XQ88	Os04g0675500
Q67UF5	Os09g0451500
Q67IX6	Os02g0100100
Q655X8	Os06g0665500
Q7F239	Os07g0259100
Q6K9F6	Os02g0621300
Q52RG7	Os01g0100900
Q69PA8	Os09g0426800
Q7F1K9	Os07g0495000
Q0J5V5	Os08g0398700
Q67WQ7	Os06g0653000
Q6K3D8	Os02g0814200
Q5N7W3	Os01g0911200
Q69T22	Os06g0614000
Q6Z6L4	Os02g0218200
Q0JLS6	Os01g0575000
Q8LIB3	Os07g0644100
Q5ZEJ0	Os01g0150200
Q69ST6	Os02g0554900
Q9FTZ2	Os01g0103600
Q2QMH2	Os12g0604600
Q7XVN7	Os04g0307200
Q2R224	Os11g0582300
Q5WA72	Os06g0163400
Q6ZGL9	Os02g0117400
Q6ZLK0	Os07g0209000
Q6EPN8	Os02g0680400
Q7XSZ4	Os04g0271200
Q7FAX1	Os04g0511200
Q10P83	Os03g0243600
A3AYR1	Os04g0681900
Q53M11	Os11g0244200
Q5W6B9	Os05g0269500
A2ZNT5	Os01g0127200
Q69L93	Os07g0101500
Q0DJC5	Os05g0301500
Q7XUW5	Os04g0445100
Q7F757	Os01g0126900
Q2R3K3	Os11g0516000
Q8RYL1	Os01g0928600
Q5I396	Os05g0196800
Q5ZE07	Os01g0126200
Q2QZ14	Os11g0707600
Q6I628	Os05g0554400
Q5Z880	Os06g0301000
Q5ZE00	Os01g0127000
Q7G4P2	Os10g0189600
Q0JR55	Os01g0118300
Q2QUP1	Os12g0258200
Q9AV39	Os10g0545200
Q10P01	Os03g0252800
Q0D4G3	Os07g0627700
Q5JK39	Os01g0928800
Q8RYL0	Os01g0928700
Q7F0Q2	Os07g0493400
Q7XUH5	Os04g0576800
Q67WM9	Os06g0644800
Q9AWU4	Os01g0126100
Q5Z9I2	Os06g0708100
Q5VNW5	Os01g0642000
Q9AS33	Os01g0377700
Q0JDK9	Os04g0397000
Q6K8E7	Os02g0806900
Q6L5F5	Os05g0577200
Q06397	Os05g0187800
P49100	Os05g0108800
Q84QC0	Os03g0264000
Q5NBP9	Os01g0276800
Q6H5U3	Os02g0639600
Q10NT7	Os03g0259300
Q94I55	Os03g0565100
P38385	Os02g0178400
Q8S9S4	Os01g0560000
Q6EUN0	Os02g0581300
Q5N8F2	Os01g0706900
Q851X7	Os03g0852200
