From	To
Q64MA3	Os09g0521900
Q10QA5	Os03g0203200
A7LFZ6	Os04g0509300
Q6I5C3	Os05g0213500
Q5Z8S0	Os06g0562200
Q6EN42	Os02g0255500
Q7XQP4	Os04g0432000
Q75H77	Os03g0610900
Q0D4J7	Os07g0622000
Q10D00	Os03g0746500
Q6ZLB0	Os07g0182000
Q9LGE3	Os01g0257300
Q852L0	Os03g0793500
Q9SXQ6	Os05g0540100
Q5N712	Os01g0907400
Q5KQI6	Os05g0481000
Q7Y0B9	Os03g0764800
Q6QHD1	Os02g0181300
Q7G7J6	Os03g0707600
Q6F6A2	Os10g0167600
Q6YZ49	Os02g0776800
Q6K9U2	Os02g0829100
Q6YUL8	Os09g0114500
Q5Z9J0	Os06g0708000
Q6EU39	Os02g0682200
Q10PZ9	Os03g0215400
Q53WJ1	Os05g0196500
Q7XI96	Os07g0580500
Q69TW5	Os06g0211200
Q336R3	Os10g0565600
Q6K431	Os09g0134500
Q0J4I1	Os08g0512600
Q6K9N1	Os02g0622100
Q0JFZ0	Os01g0952800
Q0J7P4	Os08g0174500
Q6ZIK5	Os02g0701300
Q6L4R7	Os05g0592800
Q10N20	Os03g0285800
B4XT64	Os04g0615000
Q7XC57	Os10g0561400
Q7F2L3	Os01g0884300
Q8LH59	Os01g0524500
Q7XU27	Os04g0550400
Q6AVM3	Os05g0489900
Q7F1M0	Os07g0184900
Q9FDX8	Os06g0275000
P46609	Os03g0727000
Q9XGP7	Os08g0498100
Q5Z8L1	Os06g0693300
Q6YWF1	Os02g0327000
Q75V57	Os12g0586100
Q0J466	Os08g0531700
Q10B79	Os03g0827500
Q10MI4	Os03g0307800
Q6L545	Os05g0407500
Q7X8R0	Os04g0599300
Q6H7J5	Os02g0633400
Q60EZ2	Os05g0207500
Q6YUS3	Os02g0120500
Q336N8	Os10g0577600
Q0JM17	Os01g0549700
Q0JHF1	Os01g0867300
Q7XBY6	Os10g0573400
Q69XV0	Os06g0622700
Q0J7U6	Os08g0162100
Q7XAQ6	Os01g0831000
Q7GBF8	Os12g0143800
Q6VAK3	Os08g0557700
Q852Q1	Os08g0484600
Q10L91	Os03g0356414
Q6EPZ0	Os09g0417800
