From	To
Q7G065	Os01g0633100
P15280	Os08g0345800
Q10QA5	Os03g0203200
Q65XA0	Os05g0116100
P53684	Os03g0128700
Q6I5C3	Os05g0213500
Q5Z8S0	Os06g0562200
Q6EN42	Os02g0255500
Q7XQP4	Os04g0432000
Q75H77	Os03g0610900
Q0D4J7	Os07g0622000
Q9LGE3	Os01g0257300
Q852L0	Os03g0793500
Q0J8A4	Os08g0126300
Q0D840	Os07g0186000
Q7Y0B9	Os03g0764800
Q5NAI7	Os01g0710200
Q9SSX0	Os01g0229400
Q6YUL8	Os09g0114500
Q5Z9J0	Os06g0708000
Q0E4K1	Os02g0115700
Q7XI96	Os07g0580500
Q84LK3	Os08g0424500
Q0J4I1	Os08g0512600
Q6K9N1	Os02g0622100
Q0J7P4	Os08g0174500
Q6L4R7	Os05g0592800
Q6ZD89	Os08g0157500
Q6AVA8	Os05g0405000
Q8W1L6	Os02g0274100
Q0IMS9	Os12g0547500
Q10N20	Os03g0285800
Q6Z1J6	Os08g0199300
B4XT64	Os04g0615000
Q8LH59	Os01g0524500
Q652L6	Os09g0567300
Q6AVM3	Os05g0489900
Q9FE01	Os07g0694700
P46609	Os03g0727000
Q6YWF1	Os02g0327000
Q75V57	Os12g0586100
Q10B79	Os03g0827500
Q10N21	Os03g0285700
Q60EZ2	Os05g0207500
Q7XBY6	Os10g0573400
Q6K9A2	Os02g0808800
Q6VAK3	Os08g0557700
Q10NQ3	Os03g0262900
Q10L91	Os03g0356414
Q9SE42	Os09g0505700
Q53P85	Os11g0171500
Q7XKA8	Os04g0691100
Q338B0	Os10g0419300
Q7X6L2	Os04g0444300
Q5Z807	Os06g0704300
Q10L71	Os03g0356700
Q6EPG8	Os09g0344500
Q5ZC82	Os01g0588900
Q2RAK2	Os11g0148500
Q6VAK4	Os09g0567400
P49027	Os01g0686800
Q10B19	Os03g0833200
Q53JF7	Os11g0167800
Q9FDY4	Os01g0194300
Q10I26	Os03g0566800
B7FAL5	Os05g0140500
P14656	Os02g0735200
Q0JB88	Os04g0549600
Q5VNM3	Os01g0639100
Q8VWH2	Os06g0157500
Q94CV1	Os01g0864000
Q76FS2	Os03g0661300
Q6AVI1	Os03g0733600
F9W301	Os08g0117000
Q0DRV6	Os03g0351500
Q0JHU5	Os01g0841700
Q7XP65	Os04g0522500
Q40665	Os06g0671900
P14654	Os03g0223400
Q8S6N5	Os10g0363300
Q1WM16	Os05g0187100
P45960	Os01g0805900
Q10J20	Os03g0437600
Q10J20	Os11g0384789
Q8LGZ9	Os07g0103500
Q6Z1Y6	Os08g0102000
Q69P94	Os09g0439200
