From	To
Q769E5	Os01g0557500
Q0ILQ6	Os12g0631100
Q84LM2	Os04g0537900
Q850M0	Os03g0752300
Q9FNU2	Os03g0755100
Q8H384	Os07g0232900
Q10AZ7	Os03g0835800
Q6H7M3	Os02g0196600
Q8LIN5	Os07g0108800
Q7XWK5	Os04g0206300
Q10R93	Os03g0167500
Q0IUB5	Os11g0169900
Q5KQN0	Os03g0397400
Q6Z232	Os08g0482300
Q6ASY2	Os03g0385400
Q5KTQ9	Os02g0314300
Q6K1C4	Os04g0653200
Q7XC27	Os10g0564800
Q0DJ45	Os05g0329100
Q0DJ45	Os05g0329300
Q0DJ45	Os05g0329350
Q42456	Os05g0567100
Q7XPR1	Os04g0624000
Q6Z1D5	Os08g0191600
Q69RC4	Os07g0512200
Q3HRP5	Os12g0597000
P42211	Os05g0137400
Q5JNJ5	Os01g0748150
Q5TKG3	Os05g0594200
P50156	Os03g0146100
Q67VS5	Os06g0625900
Q688R1	Os05g0128400
Q7XU31	Os04g0550800
Q6K508	Os02g0249000
Q2R041	Os11g0660000
Q6ERE5	Os09g0396900
P17048	Os07g0206400
Q94CS9	Os01g0975900
Q7XTL7	Os04g0686800
Q6MWE5	Os04g0463400
P20698	Os12g0269200
Q5Z6F0	Os06g0336200
Q0DN94	Os03g0766100
Q7XKI5	Os04g0527900
Q9LWR0	Os01g0232100
Q9FWV6	Os10g0492600
Q9LWR2	Os01g0232000
Q42465	Os07g0219300
Q10PP8	Os03g0226400
Q0DHJ5	Os05g0461900
Q5NA18	Os01g0837800
Q9LDU0	Os01g0130000
