From	To
Q0ILQ6	Os12g0631100
Q6Z4G3	Os07g0604800
Q8H8T0	Os03g0599800
Q0JL46	Os01g0624000
Q10NQ3	Os03g0262900
Q10AZ7	Os03g0835800
Q2QNS6	Os12g0555600
Q8W3F9	Os10g0578200
Q7XEK4	Os10g0418100
Q10R93	Os03g0167500
Q6ZFH6	Os08g0503800
Q5QM25	Os01g0675500
Q5N7A7	Os01g0850100
Q7FAY6	Os04g0660400
Q653F4	Os06g0687900
Q84S11	Os07g0552800
Q651X7	Os09g0478100
Q8H930	Os07g0139400
Q94GM9	Os10g0343400
Q8H0B2	Os08g0129700
Q6AT32	Os05g0559600
Q84UP7	Os08g0160500
Q8H0B6	Os04g0618200
Q6Z7I3	Os02g0329800
Q9LHZ7	Os06g0111800
Q339N5	Os10g0341700
Q84S18	Os07g0551700
Q6Z3Y6	Os07g0694400
Q75L84	Os05g0123100
Q5Z6E5	Os06g0336500
Q0DXZ1	Os02g0725300
Q7XUU0	Os04g0429600
Q654D9	Os06g0523400
Q94DD4	Os01g0858900
C7J0P3	Os03g0306100
Q5Z8T8	Os06g0707000
Q33AH8	Os10g0180000
Q6AU53	Os03g0770800
Q6Z382	Os07g0201100
Q06396	Os01g0813400
Q7PC76	Os02g0192500
Q8S7W0	Os03g0169500
Q67VS7	Os06g0625700
P51823	Os05g0489600
Q7XIF5	Os07g0630900
Q10MK2	Os03g0305800
Q7FA29	Os04g0506800
Q7XTB2	Os04g0103100
Q2QXM3	Os12g0151500
Q6H765	Os02g0529600
P49661	Os01g0833700
Q7PC73	Os03g0377700
Q6L538	Os05g0510800
Q2R2B1	Os11g0572400
Q6Z5M3	Os02g0723200
Q5Z9I2	Os06g0708100
Q6ZL17	Os07g0573700
Q5VQ78	Os06g0143900
Q5VNW5	Os01g0642000
Q6ZFR0	Os02g0330200
Q10I20	Os03g0567600
Q6L5F5	Os05g0577200
Q8S626	Os10g0205300
Q0DJA0	Os05g0310800
Q0DJ99	Os05g0311000
Q2R2W8	Os11g0546500
Q9MAX5	Os05g0461000
Q6Z844	Os02g0317400
Q9MAX6	Os04g0612600
Q5NA06	Os01g0838800
Q6H4N0	Os02g0520750
Q8S1X9	Os01g0926400
Q6K8S7	Os02g0604300
Q0J3D9	Os09g0127800
Q0JNK5	Os01g0281400
Q7XLG3	Os04g0398600
Q6ZH45	Os02g0118400
Q8S1X8	Os01g0926600
Q9AUR8	Os03g0711400
Q10SX7	Os03g0107900
P0C541	Os04g0644700
Q5N855	Os01g0898900
Q53PC7	Os11g0174000
Q2QNU0	Os12g0554400
Q5JLY8	Os01g0744400
Q0JBY9	Os04g0502200
