From	To
Q10D00	Os03g0746500
Q9SXQ6	Os05g0540100
Q6ZKV8	Os08g0245400
Q10G56	Os03g0643300
Q8S1D9	Os01g0900400
Q5VNN5	Os01g0637600
Q7X745	Os04g0459800
Q0DI31	Os05g0420600
Q9S827	Os08g0120000
Q10M74	Os03g0320900
Q6H4G3	Os09g0370300
Q75LI2	Os03g0834000
Q6EN45	Os02g0255100
Q6ZDY8	Os07g0134800
Q2QMG2	Os12g0605800
Q653T6	Os06g0678200
P0C524	BAC19890
P0C522	BAC19899
P14578	BAC19897
O82807	Os04g0600200
Q7XKC8	Os04g0676300
Q2R1U8	Os11g0592400
P31691	Os02g0718900
Q01859	Os05g0553000
Q7XN11	Os04g0614600
P0C519	BAC19885
Q6K9N6	Os02g0621700
Q0IZQ2	Os09g0556500
P0C0L1	Os12g0178100
Q0E3C8	Os02g0181900
Q10T43	Os03g0101900
Q6ZL94	Os07g0577700
Q8W855	Os02g0700400
Q6ZH92	Os02g0121800
Q84VK7	Os07g0521000
B8YEK4	Os12g0270200
Q5NBJ3	Os01g0268300
Q0DHL4	Os05g0458400
Q33E23	Os04g0543900
Q8LQJ8	Os01g0574500
Q7X7N2	Os04g0106300
Q10Q80	Os03g0206300
Q10MC0	Os03g0314800
Q9SXP2	Os06g0486800
Q9AWZ7	Os01g0225500
Q8S2A7	Os01g0842600
Q8LQJ9	Os01g0574400
Q2QXY1	Os12g0139600
Q942X4	Os01g0935900
Q2RAP0	Os11g0143500
Q9SDD6	Os01g0266600
O82766	Os04g0600300
Q852M0	Os03g0794500
Q43008	Os05g0323900
Q655X0	Os06g0665900
Q75IM9	Os05g0125500
Q67U69	Os06g0486900
Q0JJD1	Os01g0747500
Q5VQ69	Os06g0144800
Q0JM76	Os01g0530400
Q6H3Y7	Os02g0650900
Q7XRF1	Os04g0455800
Q7XPW7	Os04g0682050
Q75LJ3	Os03g0835400
Q0JQ97	Os01g0174900
Q5JNC0	Os01g0976600
Q7XN12	Os04g0614500
Q6ZCF0	Os08g0205900
Q6K548	Os09g0361400
Q7XQ97	Os04g0674400
A3C6G9	Os10g0516100
Q5JJI4	Os01g0921600
Q9FE64	Os03g0565500
Q10S93	Os03g0130400
Q7XZZ1	Os03g0651000
Q2R2Z0	Os11g0544800
Q6Z7V2	Os02g0758000
Q0J4D4	Os08g0520100
Q8H8U0	Os03g0283600
Q6ZJ48	Os08g0118900
Q7F4F8	Os01g0588200
Q10B63	Os03g0829000
Q69K07	Os09g0103500
Q6L5I5	Os05g0536200
F1SZ44	Os02g0274000
B7EZJ7	Os02g0201000
Q6K7S7	Os02g0275100
Q0JDA2	Os04g0418000
Q0J0H4	Os09g0509200
Q6Z1G7	Os08g0536000
Q9XGY5	Os02g0682600
Q10S27	Os03g0137500
Q6H611	Os09g0382500
P28520	BAC19872
Q84P97	Os03g0202200
Q6ZCC4	Os08g0112800
Q5N9Q7	Os01g0693900
Q9XGX7	Os12g0571200
Q6Z5N4	Os02g0739600
Q654V6	Os06g0246500
Q2QZ37	Os11g0704300
Q7F9U3	Os04g0182800
Q7XKI7	Os04g0527700
Q6Z4U2	Os08g0174900
Q0DF13	Os06g0124900
Q9SXX7	Os12g0561000
P46773	BAC19869
Q5VS45	Os06g0125132
P47909	Os09g0528100
